L*;a*;b*;target;target_id
97.88333333;-1.093333333;8.086666667;0;white wine
98.115;-1.115;8.23;0;white wine
99.20333333;-0.54;3.743333333;0;white wine
98.98;-1.026666667;5.953333333;0;white wine
98.98;-0.583333333;4.616666667;0;white wine
98.05666667;-0.166666667;6.25;0;white wine
97.75;-1.28;8.703333333;0;white wine
99.05333333;-0.74;5.01;0;white wine
96.79666667;-0.963333333;10.40666667;0;white wine
97.77;-0.853333333;8.853333333;0;white wine
97.01333333;-0.726666667;10.13666667;0;white wine
99;-1.816666667;7.976666667;0;white wine
98.3;-0.97;7.7;0;white wine
96.63666667;-1.493333333;15.85;0;white wine
98.58;-0.88;6.55;0;white wine
98.77333333;-1.49;8.17;0;white wine
97.88666667;-2.166666667;12.92333333;0;white wine
98.47666667;-1.236666667;8.17;0;white wine
98.75333333;-1.026666667;6.293333333;0;white wine
98.52333333;-1.223333333;8.586666667;0;white wine
97.74;-1.68;11.44333333;0;white wine
98.06;-0.743333333;6.023333333;0;white wine
98.46333333;-1.383333333;8.533333333;0;white wine
98.67666667;-0.343333333;4.523333333;0;white wine
99.14666667;-0.87;4.96;0;white wine
98.45666667;-1.126666667;7.576666667;0;white wine
98.19666667;-1.266666667;7.3;0;white wine
98.65;-1.0625;6.27;0;white wine
99.15;-0.543333333;4.056666667;0;white wine
98.81666667;-0.196666667;3.966666667;0;white wine
98.74333333;-0.61;5.29;0;white wine
98.56333333;-0.87;7.103333333;0;white wine
98.42333333;-0.85;7.13;0;white wine
97.95;-0.656666667;7.676666667;0;white wine
98.49;-0.27;6.226666667;0;white wine
99.32333333;-0.803333333;4.043333333;0;white wine
98.42;-1.08;7.893333333;0;white wine
99.15333333;-0.936666667;5.08;0;white wine
99.4;-0.846666667;4.24;0;white wine
99.04666667;-1.12;6.05;0;white wine
99.03666667;-0.813333333;5.053333333;0;white wine
99.23;-0.69;4;0;white wine
99.06;-1.42;6.353333333;0;white wine
97.77666667;-1.433333333;9.61;0;white wine
98.23;-1.356666667;9.953333333;0;white wine
99.10666667;-0.746666667;4.736666667;0;white wine
99.06666667;-0.8;4.48;0;white wine
98.29666667;-1.506666667;9.436666667;0;white wine
98.97333333;-1.53;6.846666667;0;white wine
99.02666667;-0.873333333;5.506666667;0;white wine
98.85333333;-0.606666667;4.866666667;0;white wine
98.46333333;-0.643333333;5.976666667;0;white wine
98.75;-1.146666667;6.316666667;0;white wine
