L*;a*;b*;target;target_id
98.98;-1.03;5.95;0;Not Blanc de Noir
98.98;-0.58;4.62;0;Not Blanc de Noir
99;-1.82;7.98;0;Not Blanc de Noir
99;-0.66;4.04;0;Not Blanc de Noir
99.03;-0.87;5.51;0;Not Blanc de Noir
99.04;-0.81;5.05;0;Not Blanc de Noir
99.05;-1.12;6.05;0;Not Blanc de Noir
99.05;-0.74;5.01;0;Not Blanc de Noir
99.06;-1.42;6.35;0;Not Blanc de Noir
99.07;-0.8;4.48;0;Not Blanc de Noir
99.1;-0.12;4.62;1;Blanc de Noir
99.11;-0.75;4.74;0;Not Blanc de Noir
99.12;-0.183333333;5.99;1;Blanc de Noir
99.15;-0.87;4.96;0;Not Blanc de Noir
99.15;-0.54;4.06;0;Not Blanc de Noir
99.15;-0.94;5.08;0;Not Blanc de Noir
99.2;-0.54;3.74;0;Not Blanc de Noir
99.22666667;-0.59;6.833333333;1;Blanc de Noir
99.23;-0.69;4;0;Not Blanc de Noir
99.32;-0.8;4.04;0;Not Blanc de Noir
99.4;-0.85;4.24;0;Not Blanc de Noir
99.48;0.293333333;4.64;1;Blanc de Noir
99.69;-0.203333333;4.163333333;1;Blanc de Noir
99.74666667;-0.253333333;3.776666667;1;Blanc de Noir
95.76;4.023333333;5.89;0;Not Blanc de Noir
90.925;7.11;10.28;0;Not Blanc de Noir
89.97666667;8.83;9.563333333;0;Not Blanc de Noir
86.41333333;10.62666667;14.09333333;0;Not Blanc de Noir
91.98333333;5.9;8.586666667;0;Not Blanc de Noir
95.79;3.75;5.486666667;0;Not Blanc de Noir
92.45666667;7.953333333;6.623333333;0;Not Blanc de Noir
94.34666667;3.293333333;10.68;0;Not Blanc de Noir
88.69;11.6;8.94;0;Not Blanc de Noir
94.54;3.82;7.14;0;Not Blanc de Noir
91.7;9.38;6.36;0;Not Blanc de Noir
94.83;2.87;7.87;0;Not Blanc de Noir
89.71;11.68;6.63;0;Not Blanc de Noir
82.72;18.59;12.66;0;Not Blanc de Noir
96.3;2.21;8.02;0;Not Blanc de Noir
71.21;35.22;15.74;0;Not Blanc de Noir
92.11;8.67;6.45;0;Not Blanc de Noir
92.97;5.35;10.29;0;Not Blanc de Noir
87.95;8.51;17.67;0;Not Blanc de Noir
93.78;3.94;10.5;0;Not Blanc de Noir
91.04;6.79;14.27;0;Not Blanc de Noir
87.3;15.35;6.49;0;Not Blanc de Noir
93.01;4.83;9.27;0;Not Blanc de Noir
94.67;3.46;10.74;0;Not Blanc de Noir
86.91;14.22;10.67;0;Not Blanc de Noir
96.67;3.05;3.94;0;Not Blanc de Noir
96.67;2.65;5.02;0;Not Blanc de Noir
